district,state,crop,year,season,rainfall_mm,temperature_avg_c,soil_type,irrigation_pct,fertilizer_kg_per_ha,msp_inr_per_quintal,yield_kg_per_ha,rainfall_yield_ratio,fertilizer_efficiency,msp_normalized
12,11,2,2023,1,-1.8502872489139093,-0.2409089239215412,0,-0.6376608745265848,-1.3666930287605947,0.5301666203300609,1800.0,0.079511,23.1065,0.863103
21,6,0,2023,0,0.7828485162978094,-0.3217589839683712,1,-0.6541382687109484,0.16931673787924925,0.63526342316201,2040.0,0.664625,10.8395,0.88666
9,15,0,2021,0,1.298277300801051,0.5271666465233475,3,-0.8244046752827076,-0.3515061567021663,0.19494405957298222,1500.0,1.061959,9.9469,0.862338
23,8,0,2021,0,0.9380197082640485,-0.40260904401520126,4,-0.16530890790815642,0.3169296438301321,0.19494405957298222,1798.9,0.793377,9.0488,0.862338
14,5,1,2023,0,-1.4134206623012668,-0.40260904401520126,0,1.8778879709529517,-0.8723290512835823,2.38748080830847,40000.0,0.008612,352.7337,1.279423
20,2,1,2018,0,0.22835565549537462,1.8207676072726322,0,-0.472886932682947,1.4755516980861159,1.662675271536408,46617.9,0.023617,165.3117,1.322374
25,2,0,2020,0,0.767222885778132,-0.1600588638747112,0,-0.2971280613830666,-1.2051543769652893,0.06447906295401105,2492.2,0.541192,27.8458,0.850088
0,4,0,2013,0,-0.06853132437849249,0.6484417365935918,1,-0.5992136214297358,1.520114084788269,-0.9466246608430156,1881.5,0.512191,6.5971,0.884193
2,15,1,2010,2,0.901559903718135,-0.3217589839683712,0,-0.5113341857797956,0.5606301961075326,-0.6929427229727938,44216.9,0.031915,204.4239,1.226269
16,0,1,2011,0,-0.13559132202544075,0.4058915564531018,4,0.8617819962505188,-1.6549559677401484,-0.6929427229727938,40000.0,0.023332,699.3007,1.197722
26,8,1,2020,2,0.9764327166249217,1.1739671268979892,4,-0.3136054555674302,1.1677927149243699,1.8438766557294235,48225.1,0.029978,185.5525,1.296975
25,2,0,2013,0,0.32666691418167704,0.28461646638285604,0,0.39492249436021215,-1.0714672168588297,-0.9466246608430156,2717.3,0.421697,27.4198,0.884193
11,7,2,2012,1,0.6185623731950918,-0.4834591040620313,0,-1.2088772062511957,1.5799947919192876,-0.9919250068912695,1800.0,0.71116,6.2176,0.906741
1,10,1,2013,2,-1.0388395751212267,-0.8877094042961828,0,1.855918112040467,-0.09527243316478555,-0.05873787829723951,40000.0,0.012927,236.4066,1.214921
13,11,2,2010,1,-1.391067329752284,0.4867416164999318,0,-1.093535446960649,1.4045303942795588,-1.3271475676483482,1800.0,0.197002,6.5005,0.930273
13,11,2,2015,1,-1.0093244952507252,0.1633413763126103,0,-1.6812291728696238,1.6997562061813247,-0.6929427229727938,1800.0,0.29467,6.0382,0.881108
21,6,2,2014,1,-0.3691076892361724,-0.03878377380446545,3,-1.0495957291356792,0.7138134003961843,-0.7835434150693016,1800.0,0.458468,7.919,0.899395
2,15,0,2021,0,2.011847761199644,0.001641256218950277,0,0.32901291762275686,-0.49076361514639516,0.19494405957298222,1775.2,1.082536,12.608,0.862338
2,15,1,2018,2,2.131861284496609,-0.1600588638747112,3,0.04889721648857259,1.041068427740122,1.662675271536408,40000.0,0.049451,159.4896,1.322374
11,7,0,2020,0,0.03368634193772914,0.4058915564531018,0,-1.219862135707438,-0.26238138329786015,0.06447906295401105,2099.1,0.481548,13.3531,0.850088
10,7,0,2014,0,1.6177346358700078,0.4463165864765161,1,0.13128418741039147,-1.3778336254361332,-0.8560239687465079,1729.5,1.006183,22.4319,0.873698
18,10,2,2021,1,-0.5264491076634777,-1.0898345544132586,0,1.822963323671739,-1.5059504872048235,0.25836454404053766,2327.4,0.323484,34.2769,0.877896
12,11,0,2022,0,-1.153427532265526,1.3356672469916506,2,-0.3355753144799155,0.16931673787924925,0.37614544376599773,1500.0,0.309327,7.9702,0.857244
1,10,0,2011,0,-0.9437836561265237,-2.7068357553498648,0,2.1195564189902876,0.5007494889765141,-1.3633878444869514,1500.0,0.373684,7.0755,0.892096
9,15,1,2012,2,2.330654028330281,0.24419143635944032,3,-1.1484600942418617,-1.1884434819519818,-0.23993926249025505,40000.0,0.051741,441.0143,1.19958
25,2,2,2017,1,0.743350394706403,-0.604734194132277,0,-0.49485679159543194,0.5703782181986284,-0.37584030063501667,1800.0,0.743087,8.2949,0.859794
6,14,1,2016,2,-0.83331912925825,0.0824913162657803,0,0.26859580561342294,-0.7511750624371033,0.8472690426678381,40000.0,0.015295,327.6003,1.30393
24,10,0,2020,0,-0.5702876821770166,-0.7664343142259384,0,1.4494757221594936,0.15678356661926895,0.06447906295401105,2183.3,0.335577,11.6567,0.850088
24,10,1,2011,2,-1.3237903094592292,1.5782174271321407,0,1.861410576768588,-1.1536291173409245,-0.6929427229727938,40000.0,0.009645,429.1845,1.197722
19,14,2,2022,1,-0.3704098251128122,-1.3728097645771657,0,1.5428476225375551,-1.2594647857585386,0.3308450977177439,2060.6,0.400223,24.0724,0.846738
2,15,0,2018,0,1.7833229148493648,-0.8068593442493528,3,-0.6047060861578571,-0.4698749963797608,-0.14933857039374726,1500.0,1.210859,10.5411,0.841511
2,15,2,2010,1,1.1904170456860568,-0.6855842541791071,0,-0.6101985508859785,0.7625535108516645,-1.3271475676483482,1800.0,0.857468,7.799,0.930273
4,12,1,2014,0,0.4154291764392881,0.9718419767809133,4,0.9990936144535503,1.2304585712242728,0.12246350589577602,49541.9,0.023963,187.3748,1.220607
25,2,1,2016,0,0.9321600968191693,-0.03878377380446545,0,0.28507319979778695,-0.4879784659775107,0.8472690426678381,46565.0,0.030608,330.2482,1.30393
0,4,0,2020,0,-1.0197415822638436,1.3356672469916506,1,0.4059074238164544,0.6859619087073385,0.06447906295401105,1570.9,0.334563,6.9725,0.850088
21,6,1,2011,0,1.1441912220653452,0.24419143635944032,1,-0.6321684097984634,-1.223257846563039,-0.6929427229727938,45220.9,0.033678,512.7086,1.197722
0,4,0,2022,0,-0.42054205636344333,0.4867416164999318,2,0.7574251664162153,-1.575579216426938,0.37614544376599773,1500.0,0.53431,23.8474,0.857244
13,11,2,2010,1,-1.3242243547514425,1.295242216968235,2,-1.9723298034600505,0.48543116854764895,-1.3271475676483482,1800.0,0.214103,8.5349,0.930273
3,6,2,2015,1,1.4571378777511028,-0.604734194132277,3,-1.093535446960649,0.38655837305224655,-0.6929427229727938,1800.0,0.925708,8.8322,0.881108
2,15,1,2012,0,1.2136384688194661,0.6888667666170076,3,0.16973144050724046,0.8099010467227019,-0.23993926249025505,46608.5,0.033362,199.0115,1.19958
25,2,1,2022,0,-0.9589752413539876,0.28461646638285604,0,-0.2751582024705816,-1.5686163435047265,2.2062794241154546,40000.0,0.013847,630.9148,1.281663
1,10,1,2015,0,-1.0449162092122124,-1.3728097645771657,0,2.097586560077802,-0.4475938030286843,0.48486627428180706,40000.0,0.012857,277.9708,1.276088
21,6,1,2021,2,0.2917262681585101,1.6186424571555564,3,-0.5058417210516742,-0.6662280127861236,1.9344773478259314,40000.0,0.028254,312.0125,1.289062
19,14,2,2021,1,0.06016310476273786,-1.2919597045303344,0,1.7845160705748908,-0.1885749303224187,0.25836454404053766,1828.4,0.559473,11.2517,0.877896
17,14,0,2011,0,-0.19375339118201698,-1.2111096444835043,0,0.15874651105099777,0.40466184264999605,-1.3633878444869514,1960.5,0.462146,9.5588,0.892096
5,9,2,2019,1,0.9445303876472473,0.9718419767809133,0,-0.7255403101765246,0.011955809837270893,0.013742675379966702,1800.0,0.794559,10.1752,0.866818
12,11,1,2017,0,-1.7315758614935837,-0.6855842541791071,2,-0.08841440171445888,1.5396101289704616,1.300272503150377,40000.0,0.004947,139.5673,1.349216
1,10,2,2023,1,-0.9455198372953766,-0.2409089239215412,0,1.8449331825842243,-0.526970554341895,0.5301666203300609,2149.7,0.260427,15.555,0.863103
21,6,0,2022,0,-0.9663540113216129,0.3250414964062718,3,-1.1704299531543467,-1.107674156054329,0.37614544376599773,1500.0,0.366755,15.544,0.857244
8,5,0,2011,0,-0.9296771841295929,-2.302585455115713,0,-0.2916355966549452,-0.2206041457645915,-1.3633878444869514,1500.0,0.378015,9.3633,0.892096
6,14,1,2014,0,-0.39493338412286133,-1.33238473455375,0,-0.6047060861578571,0.35592173219451595,0.12246350589577602,40000.0,0.020344,198.4127,1.220607
18,10,0,2019,0,-0.8691278658658437,-2.181310365045469,0,1.394551074878281,-1.0812152389499254,-0.03155767066828718,1506.1,0.394997,15.3059,0.855041
16,0,1,2010,0,-0.781884762130979,0.3250414964062718,0,0.07086707540105794,0.4436539310143803,-0.6929427229727938,40000.0,0.015887,192.4002,1.226269
16,0,0,2015,0,0.35618199405217876,0.5271666465233475,1,0.6695457307662747,1.2457768916531384,-0.7654232766500001,2298.9,0.504326,8.6588,0.856802
22,1,1,2012,0,1.8213018779180248,-0.523884134085447,0,-0.6596307334390697,-0.6773686094616619,-0.23993926249025505,40000.0,0.045874,313.9717,1.19958
7,0,2,2013,1,0.30105824194109504,1.0526920368277435,4,0.1202992579541492,1.1190526044688902,-0.8741441071658094,1800.0,0.629928,7.0203,0.911191
18,10,0,2015,0,-0.8797619755250684,-0.03878377380446545,0,1.6966366349249502,-1.5449425755692077,-0.7654232766500001,2138.0,0.276017,32.8418,0.856802
24,10,0,2022,0,-0.935970840866685,-0.8472843742727685,0,1.8778879709529517,-0.8973953938035436,0.37614544376599773,1835.7,0.307345,16.4489,0.857244
29,13,2,2013,1,0.05972905947052451,0.1633413763126103,1,-0.5717512977891295,1.2610952120820038,-0.8741441071658094,1800.0,0.568184,6.7517,0.911191
18,10,1,2012,2,-0.9709114868898522,-1.6557849747410716,0,2.3008077550182886,-1.0603266201832913,-0.23993926249025505,40000.0,0.01371,400.4004,1.19958
25,2,1,2013,0,-0.6178156416743682,-1.9387601849049774,0,0.6640532660381537,0.30300389798570926,-0.05873787829723951,40000.0,0.017777,202.2245,1.214921
10,7,2,2012,1,1.174574392520273,-0.9685594643430142,0,0.010449963391724012,-0.42809775884649215,-0.9919250068912695,1800.0,0.853415,12.3882,0.906741
19,14,0,2010,0,0.6124857391041063,0.24419143635944032,0,1.7900085353030117,0.4144098647410923,-1.5083489518413637,3093.3,0.413017,15.0306,0.845703
0,4,1,2014,0,-0.12343805384346954,-0.443034074038617,2,0.07086707540105794,-0.24567048828455246,0.12246350589577602,40000.0,0.023472,252.5253,1.220607
20,2,2,2012,1,-0.0073309381764235185,0.8101418566872534,0,-0.8353896047389497,0.10386573241046185,-0.9919250068912695,1800.0,0.551027,9.8093,0.906741
22,1,2,2016,1,2.946781320626998,-0.8877094042961828,3,-1.0276258702231937,-1.1926212057053085,-0.5570416848280322,1800.0,1.30683,19.9115,0.864562
7,0,2,2021,1,0.01198407732706633,0.5271666465233475,0,-0.4014848912173704,1.3864269246818097,0.25836454404053766,1800.0,0.555969,6.5312,0.877896
17,14,2,2010,1,-0.25104736975416675,-0.523884134085447,0,0.499279324194516,-1.4126479900471902,-1.3271475676483482,1800.0,0.488673,24.1287,0.930273
3,6,1,2017,0,0.18798944331954198,0.28461646638285604,1,-1.6922141023258663,-0.8180186424903331,1.300272503150377,40000.0,0.027059,341.006,1.349216
11,7,0,2017,0,-0.3934142256001148,-0.7260092842025228,1,-1.0495957291356792,-1.1383107969120594,-0.5117413387797783,1681.2,0.484187,17.8282,0.820111
21,6,2,2010,1,1.0296032649210456,0.28461646638285604,1,-0.6761081276234333,-1.2274355703163657,-1.3271475676483482,1800.0,0.816324,20.4778,0.930273
26,8,1,2019,0,0.1393763705916571,-0.523884134085447,4,-0.4289472148579767,1.1956442066132156,1.662675271536408,40000.0,0.026499,152.73,1.295516
20,2,0,2014,0,-0.5631259348554981,0.4463165864765161,0,-0.017012360248882284,-0.1036278806714392,-0.8560239687465079,2182.2,0.337257,12.9431,0.873698
11,7,0,2014,0,0.4985488498981266,0.8505668867106676,0,-0.49485679159543194,-0.9990533384678306,-0.8560239687465079,2235.3,0.548003,21.4314,0.873698
15,8,2,2018,1,0.0790440749740146,0.28461646638285604,1,-0.17080137263627776,-0.1676863115557844,-0.1765187780226996,1800.0,0.573126,10.9756,0.834298
12,11,1,2017,0,-1.3109859733389384,1.0931170668511592,0,-1.1649374884262254,-1.7231921223778206,1.300272503150377,40000.0,0.009792,764.8184,1.349216
18,10,1,2018,0,-1.3852077183074052,-2.4642855752093746,0,2.004214659699741,-0.39328339423543496,1.662675271536408,40000.0,0.008937,270.636,1.322374
6,14,1,2013,2,-0.05637805619652151,-0.7260092842025228,0,0.29605812925402925,-0.8458701341791789,-0.05873787829723951,40000.0,0.024244,346.9211,1.214921
4,12,1,2019,2,-1.4066929602719613,0.20376640633602605,4,0.18620883469160407,-1.3653004541761524,1.662675271536408,40000.0,0.00869,512.8205,1.295516
13,11,0,2018,0,-1.0811589911120192,1.6994925172023865,2,-1.1100128411450128,-0.8806844987902361,-0.14933857039374726,1500.0,0.331512,13.2979,0.841511
14,5,2,2022,1,-1.4631188482596846,0.6080167065701776,0,1.9492900124185286,0.9519436543358155,0.3308450977177439,1800.0,0.178567,7.365,0.846738
26,8,2,2022,1,-0.5509726666735268,0.8909919167340834,4,-0.11587672535506517,1.671904714492479,0.3308450977177439,1800.0,0.411938,6.079,0.846738
16,0,2,2012,1,-0.5492364855046736,-0.40260904401520126,4,1.0155710086379146,1.38085662634404,-0.9919250068912695,1800.0,0.412382,6.5407,0.906741
27,3,1,2019,0,0.23616847075521302,0.5271666465233475,4,-0.7914498869139799,-1.174517736107559,1.662675271536408,40000.0,0.027614,436.205,1.295516
21,6,2,2016,1,-0.041186470969057545,0.1633413763126103,3,-0.7804649574577371,1.7359631453768236,-0.5570416848280322,1800.0,0.542365,5.986,0.864562
13,11,0,2020,0,-1.60049418324518,3.276068688115577,2,-1.1209977706012555,1.0424610023245644,0.06447906295401105,1500.0,0.172085,5.9785,0.850088
12,11,1,2013,0,-1.559693925777134,1.9016176673194622,0,-1.1704299531543467,-0.7386418911771226,-0.05873787829723951,40000.0,0.006927,325.2033,1.214921
22,1,2,2018,1,1.0847270170321288,-0.1600588638747112,3,-0.9891786171263452,0.5467044502631098,-0.1765187780226996,1800.0,0.830428,8.3604,0.834298
4,12,0,2013,0,-0.8498128503623535,0.6080167065701776,4,0.43886221218518207,-1.0464008743388682,-0.9466246608430156,1511.1,0.399577,14.9762,0.884193
8,5,1,2014,0,-1.0321118730919212,-2.787685815396696,2,0.1202992579541492,0.20691625165919128,0.12246350589577602,40000.0,0.013005,209.5338,1.220607
12,11,2,2014,1,-1.555787518147215,0.5271666465233475,0,-0.06644454280197354,0.5745559419519555,-0.7835434150693016,1800.0,0.154858,8.2835,0.899395
15,8,1,2012,0,-0.10021663071006023,-0.7664343142259384,4,-0.687093057079676,-0.9168914379857355,-0.23993926249025505,40000.0,0.023739,362.9764,1.19958
6,14,1,2016,0,0.026958639908423863,-1.4940848546474101,0,0.21367115833221037,-1.6257119014668604,0.8472690426678381,40000.0,0.025204,674.5363,1.30393
25,2,1,2023,0,0.6094474220586134,-0.03878377380446545,0,-0.12686165481130746,1.613416581945902,2.38748080830847,48279.2,0.026441,165.3964,1.279423
7,0,0,2016,0,0.5638726663762215,0.7292917966404233,1,-0.47837939741106794,1.2583100629131185,-0.6567024461341907,2237.3,0.560961,8.3983,0.833381
21,6,2,2016,1,0.41846749348478063,0.4867416164999318,3,-0.9836861523982239,0.7040653783050881,-0.5570416848280322,1800.0,0.659967,7.9435,0.864562
28,12,0,2023,0,0.7737335651613308,1.456942337061895,3,0.29605812925402925,0.0022077877461746357,0.63526342316201,1652.6,0.817791,9.3791,0.88666
5,9,2,2021,1,1.0712716129735183,0.5675916765467618,0,-0.5882286919734931,-0.31112149375334025,0.25836454404053766,1800.0,0.826985,11.7111,0.877896
12,11,0,2019,0,-1.5397278423353242,-1.2111096444835043,0,-0.3410677792080365,-0.5771032393818173,-0.03155767066828718,1500.0,0.19074,11.1441,0.855041
9,15,2,2021,1,1.560874702590071,0.7292917966404233,0,-0.1323541195394288,0.3169296438301321,0.25836454404053766,1800.0,0.952249,9.0543,0.877896
5,9,1,2011,2,0.9514751123226595,0.1633413763126103,4,-0.46739446795482564,1.2736283833419841,-0.6929427229727938,44063.2,0.032548,164.7222,1.197722
27,3,1,2012,2,0.9894540753913194,-0.2409089239215412,4,-1.642781919772775,-0.9322097584146009,-0.23993926249025505,40000.0,0.036292,366.6361,1.19958
23,8,1,2020,0,-0.5804877465440283,-0.443034074038617,1,-1.6043346666759262,0.6831767595384537,1.8438766557294235,40000.0,0.018207,177.6988,1.296975
22,1,2,2010,1,3.0546415757419925,0.1633413763126103,3,-0.7365252396327673,1.6900081840902281,-1.3271475676483482,1800.0,1.334425,6.0525,0.930273
11,7,1,2011,2,-0.42075907900955,1.1335420968745749,1,-1.219862135707438,-1.6758445865067828,-0.6929427229727938,40000.0,0.020047,718.1329,1.197722
20,2,1,2018,0,-0.4450656153734922,0.001641256218950277,0,-0.11038426062694384,1.3488274109018674,1.662675271536408,40000.0,0.019767,146.5738,1.322374
16,0,0,2015,0,-0.9298942067756996,1.7803425772492165,0,0.768410095872458,-1.6117861556224375,-0.7654232766500001,1625.5,0.348786,26.9569,0.856802
11,7,1,2017,0,0.5254596580153487,-0.3217589839683712,0,-1.6812291728696238,1.5855650902570564,1.300272503150377,40000.0,0.030947,137.9786,1.349216
27,3,1,2017,2,1.1823872077801114,-0.03878377380446545,3,-0.9342539698451326,-0.8778993496213515,1.300272503150377,40000.0,0.038514,353.9823,1.349216
10,7,1,2018,2,0.21793856848225657,-0.9281344343195985,1,-0.4454246090423407,1.515936361034942,1.662675271536408,40000.0,0.027404,140.4001,1.322374
7,0,0,2021,0,-0.2486601206469938,0.9314169467574991,4,0.5157567183788796,0.10386573241046185,0.19494405957298222,1819.6,0.484016,9.9161,0.862338
9,15,0,2011,0,0.5421704017655586,0.1633413763126103,0,0.22465608778845303,-0.3877130958976661,-1.3633878444869514,2631.8,0.473108,17.7584,0.892096
23,8,1,2015,2,2.377096874597099,0.4058915564531018,4,-1.346188824454227,0.38516579846780397,0.48486627428180706,40000.0,0.052276,196.3672,1.276088
22,1,0,2013,0,3.749331065929309,-0.2004838938981255,0,-0.5333040446922805,-1.5686163435047265,-0.9466246608430156,1500.0,1.81439,23.6593,0.884193
16,0,0,2016,0,-0.2990093745437316,0.6080167065701776,1,0.5432190420194859,0.5453118756786671,-0.6567024461341907,1993.4,0.430205,9.263,0.833381
12,11,1,2022,0,-0.9826307097796101,-2.181310365045469,2,-1.4230833306479247,-0.29162544957114817,2.2062794241154546,40000.0,0.013575,257.8981,1.281663
18,10,2,2012,1,-1.2385004095393244,0.24419143635944032,0,1.9602749418747705,-0.9294246092457162,-0.9919250068912695,1800.0,0.236036,16.4684,0.906741
20,2,2,2019,1,0.45926775095282707,0.4058915564531018,0,-0.49485679159543194,-0.5200076814196836,0.013742675379966702,1800.0,0.670405,12.9776,0.866818
2,15,2,2013,1,0.6090133767664004,-0.1600588638747112,3,0.18620883469160407,-0.8528330071013903,-0.8741441071658094,1800.0,0.708717,15.6794,0.911191
29,13,0,2021,0,-0.15034886196069136,0.1633413763126103,4,0.32901291762275686,0.9797951460246613,0.19494405957298222,1907.9,0.485358,7.7431,0.862338
8,5,1,2017,0,-1.2432749077536704,-0.40260904401520126,0,0.7574251664162153,0.01474095900615531,1.300272503150377,40000.0,0.010572,225.8611,1.349216
4,12,0,2020,0,0.49464244226820736,0.9314169467574991,0,0.21367115833221037,0.6943173562139923,0.06447906295401105,2337.7,0.523239,10.3484,0.850088
24,10,0,2014,0,-0.587649493865547,-1.6557849747410716,0,2.0426619127965893,-0.9308171838301584,-0.8560239687465079,1983.2,0.365387,18.1612,0.873698
29,13,0,2013,0,0.01654155289530557,1.295242216968235,4,0.37844510017584815,-0.046532322709305456,-0.9466246608430156,1886.6,0.531574,10.9241,0.884193
24,10,1,2019,2,-0.9259877991457801,-0.6451592241556927,0,1.894365365137316,-0.32922496335108975,1.662675271536408,40000.0,0.014227,262.4672,1.295516
