district,state,crop,year,season,rainfall_mm,temperature_avg_c,soil_type,irrigation_pct,fertilizer_kg_per_ha,msp_inr_per_quintal,yield_kg_per_ha
Coimbatore,Tamil Nadu,Sugarcane,2022,Zaid,912.4,29.6,Red,64.9,134.8,3050,40000.0
Ahmedabad,Gujarat,Rice,2014,Kharif,331.0,27.4,Black,65.7,181.2,1360,1644.3
Karnal,Haryana,Wheat,2015,Rabi,408.2,25.5,Alluvial,94.5,154.4,1450,1972.1
Bardhaman,West Bengal,Wheat,2016,Rabi,1719.7,28.5,Alluvial,58.6,66.2,1525,1800.0
Guntur,Andhra Pradesh,Rice,2010,Kharif,645.8,31.2,Alluvial,69.7,238.3,1000,1823.5
Hooghly,West Bengal,Wheat,2019,Rabi,932.6,30.0,Laterite,50.5,165.9,1840,1800.0
Jodhpur,Rajasthan,Rice,2011,Kharif,412.6,30.5,Desert,23.5,137.3,1080,1500.0
Jaipur,Rajasthan,Rice,2013,Kharif,329.0,29.8,Alluvial,36.2,224.1,1310,1513.0
Krishna,Andhra Pradesh,Sugarcane,2014,Zaid,1044.9,30.9,Red,50.4,81.6,1900,40000.0
Jabalpur,Madhya Pradesh,Rice,2015,Kharif,849.5,26.1,Black,34.8,257.3,1410,1933.0
Hooghly,West Bengal,Wheat,2015,Rabi,1576.4,30.1,Laterite,43.3,195.1,1450,1800.0
Jodhpur,Rajasthan,Rice,2013,Kharif,339.7,28.3,Desert,17.9,220.5,1310,1500.0
Cuttack,Odisha,Wheat,2013,Rabi,1234.6,26.9,Laterite,55.4,159.8,1350,1800.0
Nashik,Maharashtra,Wheat,2010,Rabi,746.8,26.4,Red,30.6,250.7,1100,1800.0
Belgaum,Karnataka,Wheat,2020,Rabi,845.6,30.6,Black,38.9,188.1,1925,1800.0
Bardhaman,West Bengal,Rice,2018,Kharif,1246.3,27.3,Laterite,46.4,215.0,1750,2017.2
Krishna,Andhra Pradesh,Rice,2016,Kharif,588.0,29.7,Red,60.7,82.7,1470,1500.0
Patna,Bihar,Rice,2011,Kharif,711.2,31.9,Alluvial,47.2,220.9,1080,1553.5
Lucknow,Uttar Pradesh,Rice,2019,Kharif,704.6,28.6,Alluvial,69.9,213.5,1815,2094.2
Meerut,Uttar Pradesh,Rice,2017,Kharif,798.4,25.6,Alluvial,76.2,180.0,1550,2430.6
Thanjavur,Tamil Nadu,Rice,2012,Kharif,374.3,33.1,Alluvial,82.8,206.2,1250,1500.0
Guntur,Andhra Pradesh,Sugarcane,2011,Kharif,784.7,31.9,Red,59.3,82.1,1450,40000.0
Gorakhpur,Uttar Pradesh,Sugarcane,2018,Zaid,615.7,27.4,Alluvial,48.4,285.7,2750,40000.0
Patna,Bihar,Sugarcane,2023,Kharif,757.3,30.0,Alluvial,51.6,50.2,3150,40000.0
Indore,Madhya Pradesh,Wheat,2019,Rabi,614.8,31.4,Black,59.0,180.4,1840,1800.0
Nagaon,Assam,Sugarcane,2021,Kharif,1492.6,27.5,Alluvial,40.2,92.6,2900,46420.3
Patna,Bihar,Wheat,2018,Rabi,675.1,29.6,Alluvial,57.0,176.5,1735,1800.0
Thanjavur,Tamil Nadu,Sugarcane,2013,Kharif,1170.7,28.6,Red,68.9,138.4,1800,40000.0
Nagaon,Assam,Rice,2021,Kharif,1707.1,26.4,Laterite,35.9,250.5,1940,1660.8
Nagaon,Assam,Wheat,2022,Rabi,1069.9,29.2,Laterite,39.1,66.4,2015,1800.0
Mysore,Karnataka,Wheat,2020,Rabi,1111.6,28.9,Laterite,44.8,251.6,1925,1800.0
Raipur,Chhattisgarh,Rice,2017,Kharif,1192.1,29.5,Laterite,47.7,176.8,1550,1723.4
Kolhapur,Maharashtra,Rice,2014,Kharif,898.8,25.9,Red,30.6,211.4,1360,1820.7
Pune,Maharashtra,Wheat,2010,Rabi,1001.6,31.2,Black,53.5,153.7,1100,1800.0
Patiala,Punjab,Sugarcane,2020,Zaid,458.0,26.5,Alluvial,80.3,202.9,2850,40000.0
Coimbatore,Tamil Nadu,Wheat,2011,Rabi,102.1,30.0,Red,55.6,228.0,1120,1800.0
Nagaon,Assam,Rice,2022,Kharif,1732.1,26.2,Laterite,49.1,201.8,2040,1547.7
Hisar,Haryana,Wheat,2019,Rabi,261.4,27.1,Alluvial,50.1,93.6,1840,1800.0
Indore,Madhya Pradesh,Wheat,2021,Rabi,804.0,25.2,Black,59.0,87.2,1975,1800.0
Muzaffarpur,Bihar,Wheat,2015,Rabi,451.6,29.8,Alluvial,55.7,117.9,1450,1800.0
Kolhapur,Maharashtra,Rice,2020,Kharif,415.2,27.9,Red,52.4,107.5,1868,1500.0
Warangal,Telangana,Wheat,2014,Rabi,748.2,30.7,Black,55.0,284.3,1400,1800.0
Hooghly,West Bengal,Sugarcane,2013,Zaid,1077.4,30.1,Laterite,49.1,296.3,1800,40000.0
Thanjavur,Tamil Nadu,Rice,2021,Kharif,671.1,30.7,Alluvial,75.1,251.7,1940,1773.8
Gorakhpur,Uttar Pradesh,Rice,2010,Kharif,735.2,26.6,Alluvial,62.7,94.9,1000,2254.5
Jaipur,Rajasthan,Wheat,2014,Rabi,168.1,30.4,Alluvial,32.0,186.1,1400,1800.0
Hooghly,West Bengal,Sugarcane,2015,Zaid,1083.8,29.6,Laterite,36.4,182.8,2100,40000.0
Ahmedabad,Gujarat,Rice,2012,Kharif,701.9,32.7,Black,63.4,120.3,1250,1500.0
Jaipur,Rajasthan,Sugarcane,2022,Kharif,407.2,23.4,Desert,30.0,154.1,3050,40000.0
Bardhaman,West Bengal,Sugarcane,2016,Kharif,1077.0,29.1,Laterite,51.5,73.0,2300,40000.0
Bardhaman,West Bengal,Sugarcane,2013,Kharif,885.5,29.4,Laterite,52.1,114.2,1800,40000.0
Coimbatore,Tamil Nadu,Rice,2010,Kharif,1084.7,31.1,Red,68.7,230.1,1000,1871.0
Jaipur,Rajasthan,Wheat,2023,Rabi,232.6,34.9,Alluvial,38.7,162.6,2125,1800.0
Ludhiana,Punjab,Sugarcane,2019,Kharif,322.8,28.5,Alluvial,86.5,97.7,2750,40000.0
Ahmedabad,Gujarat,Sugarcane,2015,Kharif,575.9,28.7,Black,49.7,244.9,2100,40000.0
Ahmedabad,Gujarat,Rice,2020,Kharif,237.4,34.2,Alluvial,66.0,86.0,1868,1500.0
Ludhiana,Punjab,Wheat,2018,Rabi,269.0,24.5,Alluvial,81.0,266.2,1735,2112.0
Hooghly,West Bengal,Rice,2021,Kharif,1195.5,30.1,Laterite,40.9,149.8,1940,1691.2
Meerut,Uttar Pradesh,Sugarcane,2013,Zaid,872.6,28.4,Alluvial,79.0,210.9,1800,44466.8
Pune,Maharashtra,Rice,2023,Kharif,801.0,28.3,Red,52.7,89.1,2183,1622.6
Kolhapur,Maharashtra,Rice,2020,Kharif,799.2,29.5,Black,47.7,93.0,1868,1728.7
Patna,Bihar,Rice,2015,Kharif,713.2,30.9,Alluvial,66.6,278.8,1410,1962.1
Mysore,Karnataka,Wheat,2022,Rabi,918.6,28.1,Laterite,43.2,229.8,2015,1800.0
Warangal,Telangana,Sugarcane,2022,Zaid,1195.0,30.1,Black,49.9,156.7,3050,49621.1
Amritsar,Punjab,Wheat,2011,Rabi,384.9,26.2,Alluvial,89.2,209.1,1120,2016.8
Lucknow,Uttar Pradesh,Sugarcane,2014,Zaid,548.8,28.0,Alluvial,60.5,220.8,1900,40000.0
Nagaon,Assam,Wheat,2023,Rabi,1347.4,25.1,Alluvial,43.5,193.6,2125,1800.0
Hisar,Haryana,Rice,2015,Kharif,392.1,28.1,Desert,73.7,91.6,1410,1500.0
Ahmedabad,Gujarat,Rice,2012,Kharif,519.4,30.2,Alluvial,46.8,67.3,1250,1500.0
